category_id	count	encoding	sequence
1	4	77	-1,0,0,0
2	4	89	1,0,0,0
3	2	275	-1,0,-1,0
4	1	464	-1,0,0,-1
5	1	1127	-1,0,1,0
6	1	4370	-1,0,-2,0
7	1	7379	1,1,-2,0
8	1	9314	1,-2,-2,0
9	1	72389	-1,0,1,1
10	1	89345027	-1,-1,5,-2
11	1	566918627	-1,0,9,1
12	1	1088881110	-1,-1,11,-1
13	1	2041828655	-1,1,12,-1
14	1	2041956464	-1,0,11,1
15	1	2732194079	1,1,-13,-1
16	1	12333843269	-1,-12,-13,-2
17	1	19749886884	-1,11,-12,2
18	1	514702014309	-1,-4,-8,4
19	1	1072553675270	-1,0,-1,5
20	1	5364510721919	1,-3,-2,-6
21	5	998766650140877	-1,-8,-8,-8
22	1	2534169547088045	-1,6,8,8
23	10	2537568978100002	-1,8,8,8
24	2	2671080006838320	-1,8,-9,8
25	1	2807039015951975	-1,6,9,8
26	2	5848780619532479	-1,8,8,-9
27	5	6127216826882384	-1,-9,-9,-9
28	5	14134174203751952	-1,9,9,9
29	1	14738679547614901	1,-1,0,-10
30	1	15355801857366479	-1,-10,10,9
31	1	30124135089904064	-1,9,9,-10
32	1	31282545094055729	1,9,-10,-10
33	6	31288139504878815	-1,-10,-10,-10
34	1	32497072163139285	-1,-1,0,10
35	4	66720918967500902	-1,10,10,10
36	5	137520058369471127	-1,-11,-11,-11
37	1	141520454936285777	-1,0,11,-11
38	1	274761540684197919	-1,11,11,11
39	3	533508198414997652	-1,-12,-12,-12
40	1	1009021255905833795	-1,12,12,12
41	1	1818078296518131494	-1,1,12,-13
42	1	1862402202891664994	-1,12,-13,-13
43	1	1862522110322978202	-1,-13,-13,-13
44	1	2084271185549613377	-1,-1,2,13
45	1	3361378628987190902	-1,13,13,13
46	1	5933862693397994354	-1,-2,-14,-14
47	1	5940442205971251902	-1,13,-14,-14
48	1	7348228016614021364	-1,0,5,14
49	1	11482848972625936126	1,-1,-3,-15
50	1	17505000363921614390	-1,0,-15,-15
